Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Brussels World Fair (View of the fair),1958,Silver-gelatin print,20.3,25.4,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155369
Brussels World Fair (View of the fair),1958,Silver-gelatin print,20.3,25.4,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155370
Brussels World Fair (View of the fair),1958,Silver-gelatin print,25.4,20.3,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155371
A Return Exhibition of Graphic Design by Brownjohn |  Chermayeff & Geismar at Gallery 303 |  The Composing Room |  Inc.,1959,Lithograph,70.5,55.2,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155372
A Return Exhibition of Graphic Design by Brownjohn |  Chermayeff & Geismar at Gallery 303 |  The Composing Room |  Inc.,1959,Lithograph,10.8,27.9,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155373
A Return Exhibition of Graphic Design by Brownjohn |  Chermayeff & Geismar at Gallery 303 |  The Composing Room |  Inc.,1959,Lithograph,21.6,27.9,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155374
Drama Festival |  Tour to San Juan,1959,Lithograph,22.9,9.5,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155375
San Juan Drama Festival |  Teatro Tapia,1959,Lithograph,14,4.8,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155376
San Juan Drama Festival |  Teatro Tapia,1959,Lithograph,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155377
San Juan Drama Festival |  Teatro Tapia,1959,Lithograph,10.5,24.1,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155378
Artist's Proof for the cover of Pepsi-Cola Annual Report |  1959,1959,Lithographs,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155379
Preparatory Study for the cover of Pepsi-Cola Annual Report |  1959,1959,Color film transparency,10.2,12.7,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155380
Cover of Architectural and Engineering News |  January 1961,1961,Lithograph,44.1,27.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155381
Cover of Architectural and Engineering News |  January 1961,1961,Lithograph,28.3,27.9,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155382
Artist's Proof for Lifelons Advertisement,1963,Lithograph,26.7,19.4,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155383
Artist's Proof for Lifelons Advertisement,1963,Lithograph,29.8,21,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155384
Artist's Proof for Lifelons Advertisement,1963,Lithograph,32.1,23.5,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155385
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,25.4,20.3,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155386
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,25.4,20.3,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155387
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,25.4,20.3,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155388
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,25.4,20.3,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155389
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,25.4,20.3,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155390
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,25.4,20.3,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155391
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,20.3,25.4,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155392
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,20.3,25.4,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155393
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,20.3,25.4,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155394
Preparatory Study for Goldfinger Title Sequence,1964,Silver-gelatin print,20.3,25.4,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155395
Untitled,-200,Pencil |  ink |  and colored ink on paper,30.5,45.4,null,Gift of Solita Mishaan,Drawing,Drawings,2012,Y,155396
Untitled,-200,Pencil |  ink |  and colored ink on paper,30.5,45.4,null,Gift of Solita Mishaan,Drawing,Drawings,2012,Y,155404
Frontispiece from Der Schlecht Gefesselte Prometheus,1919,One from an illustrated book with six relief halftone reproductions after drawings,21,17.4,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155542
Plate (between pages 12 and 13) from Der Schlecht Gefesselte Prometheus,1919,One from an illustrated book with six relief halftone reproductions after drawings,21,17.4,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155543
Plate (between pages 16 and 17) from Der Schlecht Gefesselte Prometheus,1919,One from an illustrated book with six relief halftone reproductions after drawings,21,17.4,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155544
Plate (between pages 36 and 37) from Der Schlecht Gefesselte Prometheus,1919,One from an illustrated book with six relief halftone reproductions after drawings,21,17.4,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155545
Plate (between pages 44 and 45) from Der Schlecht Gefesselte Prometheus,1919,One from an illustrated book with six relief halftone reproductions after drawings,21,17.4,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155546
Plate (between pages 48 and 49) from Der Schlecht Gefesselte Prometheus,1919,One from an illustrated book with six relief halftone reproductions after drawings,21,17.4,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155547
Headpiece from Le Prométhée mal enchaîné,1920,One from an illustrated book with 46 line block reproductions after drawings (including covers) |  front cover printed in color,24,18.7,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155548
Headpiece from Le Prométhée mal enchaîné,1920,One from an illustrated book with 46 line block reproductions after drawings (including covers) |  front cover printed in color,24,18.7,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155549
In-text plate from Le Prométhée mal enchaîné,1920,One from an illustrated book with 46 line block reproductions after drawings (including covers) |  front cover printed in color,24,18.7,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155550
Plate from Le Prométhée mal enchaîné,1920,One from an illustrated book with 46 line block reproductions after drawings (including covers) |  front cover printed in color,24,18.7,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155551
In-text plate from Le Prométhée mal enchaîné,1920,One from an illustrated book with 46 line block reproductions after drawings (including covers) |  front cover printed in color,24,18.7,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155552
In-text plate from Le Prométhée mal enchaîné,1920,One from an illustrated book with 46 line block reproductions after drawings (including covers) |  front cover printed in color,24,18.7,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155553
In-text plate from Le Prométhée mal enchaîné,1920,One from an illustrated book with 46 line block reproductions after drawings (including covers) |  front cover printed in color,24,18.7,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155554
In-text plate from Le Prométhée mal enchaîné,1920,One from an illustrated book with 46 line block reproductions after drawings (including covers) |  front cover printed in color,24,18.7,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,155555
